Name,X,Y
Andhra Pradesh,-50.0,-155.0
Arunachal Pradesh,299.0,125.0
Assam,235.0,77.0
Bihar,79.0,57.0
Chhattisgarh,-8.0,-18.0
Goa,-213.0,-143.0
Gujarat,-261.0,14.0
Haryana,-146.0,123.0
Himachal Pradesh,-100.0,172.0
Jharkhand,60.0,15.0
Karnataka,-162.0,-167.0
Kerala,-152.0,-251.0
Madhya Pradesh,-100.0,-2.0
Maharashtra,-190.0,-71.0
Manipur,280.0,49.0
Meghalaya,204.0,58.0
Mizoram,265.0,18.0
Nagaland,297.0,75.0
Odisha,67.0,-44.0
Punjab,-170.0,163.0
Rajasthan,-216.0,76.0
Sikkim,137.0,108.0
Tamil Nadu,-82.0,-240.0
Telangana,-80.0,-96.0
Tripura,214.0,24.0
Uttar Pradesh,-37.0,74.0
Uttarakhand,-59.0,142.0
West Bengal,144.0,4.0
Andaman & Nicobar Islands,256.0,-162.0
Chandigarh,-125.0,154.0
Dadra & Nagar Haveli and Daman & Diu,-275.0,-43.0
Delhi,-115.0,112.0
Jammu & Kashmir,-210.0,210.0
Ladakh,-100.0,225.0
Lakshadweep,-245.0,-246.0
Puducherry,-61.0,-213.0
